Level,Scope,Timestamp,Count,Avg_Mins,Med_Mins
Provincial,Castelló/Castellón,2026-01-18T04:00:00Z,1,3.92,3.92
Provincial,Castelló/Castellón,2026-01-18T05:00:00Z,2,53.415,53.415
Provincial,Castelló/Castellón,2026-01-18T06:00:00Z,1,10.31,10.31
Provincial,Castelló/Castellón,2026-01-18T07:00:00Z,12,3.0658333333333334,1.275
Provincial,Castelló/Castellón,2026-01-18T08:00:00Z,7,18.197142857142858,14.56
Provincial,Castelló/Castellón,2026-01-18T09:00:00Z,16,5.84375,1.855
Provincial,Castelló/Castellón,2026-01-18T10:00:00Z,14,9.174285714285714,4.325
Provincial,Castelló/Castellón,2026-01-18T11:00:00Z,10,8.035,1.06
Provincial,Castelló/Castellón,2026-01-18T12:00:00Z,10,6.806,3.885
Provincial,Castelló/Castellón,2026-01-18T16:00:00Z,1,15.71,15.71
Provincial,Castelló/Castellón,2026-01-18T17:00:00Z,1,12.93,12.93
Provincial,Ceuta,2026-01-17T20:00:00Z,1,13.76,13.76
Provincial,Ceuta,2026-01-18T11:00:00Z,1,1.93,1.93
Provincial,Ciudad Real,2026-01-17T10:00:00Z,2,39.3,39.3
Provincial,Ciudad Real,2026-01-17T11:00:00Z,3,10.41,9.57
Provincial,Ciudad Real,2026-01-17T12:00:00Z,2,44.53,44.53
Provincial,Ciudad Real,2026-01-17T13:00:00Z,1,17.55,17.55
Provincial,Ciudad Real,2026-01-17T19:00:00Z,4,49.1725,55.504999999999995
Provincial,Ciudad Real,2026-01-17T20:00:00Z,11,6.679090909090909,1.72
Provincial,Ciudad Real,2026-01-17T21:00:00Z,5,28.16,12.82
Provincial,Ciudad Real,2026-01-17T22:00:00Z,5,18.246000000000002,11.27
Provincial,Ciudad Real,2026-01-17T23:00:00Z,9,2.3177777777777777,1.84
Provincial,Ciudad Real,2026-01-18T00:00:00Z,1,0.66,0.66
Provincial,Ciudad Real,2026-01-18T01:00:00Z,2,0.635,0.635
Provincial,Ciudad Real,2026-01-18T04:00:00Z,1,13.86,13.86
Provincial,Ciudad Real,2026-01-18T06:00:00Z,3,61.94,61.33
Provincial,Ciudad Real,2026-01-18T08:00:00Z,3,1.5433333333333334,1.78
Provincial,Ciudad Real,2026-01-18T09:00:00Z,10,9.838000000000001,1.4100000000000001
Provincial,Ciudad Real,2026-01-18T10:00:00Z,2,1.585,1.585
Provincial,Ciudad Real,2026-01-18T11:00:00Z,18,8.262222222222222,1.48
Provincial,Ciudad Real,2026-01-18T12:00:00Z,11,12.462727272727273,6.08
Provincial,Cuenca,2026-01-17T10:00:00Z,1,11.9,11.9
Provincial,Cuenca,2026-01-17T11:00:00Z,8,14.8125,12.3
Provincial,Cuenca,2026-01-17T12:00:00Z,4,27.1825,31.945
Provincial,Cuenca,2026-01-17T13:00:00Z,2,20.83,20.83
Provincial,Cuenca,2026-01-17T19:00:00Z,1,34.32,34.32
Provincial,Cuenca,2026-01-17T20:00:00Z,6,5.785,4.69
Provincial,Cuenca,2026-01-17T21:00:00Z,3,4.32,1.86
Provincial,Cuenca,2026-01-17T22:00:00Z,1,62.22,62.22
